區域別,戶數,人口數
臺北市,1771,4615
臺北市,3264,8911
臺北市,2127,5617
臺北市,1436,3938
臺北市,2659,6484
臺北市,1729,4667
臺北市,1285,3507
臺北市,2794,7648
臺北市,2176,5827
臺北市,1616,4532
臺北市,1297,3514
臺北市,1855,4953
臺北市,1392,3775
臺北市,1988,5569
臺北市,1787,5212
臺北市,2405,6505
臺北市,2421,5794
臺北市,2307,5100
臺北市,1684,3960
臺北市,1321,3189
臺北市,3060,7588
臺北市,2890,7715
臺北市,2061,5521
臺北市,2537,7079
臺北市,1891,5070
臺北市,2275,6240
臺北市,2175,5866
臺北市,1897,4876
臺北市,2915,7717
臺北市,2253,5651
臺北市,1422,3409
臺北市,2035,4923
臺北市,2022,5125
臺北市,1516,3719
臺北市,2838,7903
臺北市,2414,6353
臺北市,2084,5598
臺北市,2659,6867
臺北市,2184,6383
臺北市,3380,8665
臺北市,1706,4120
臺北市,2802,7032
臺北市,2793,7284
臺北市,3522,9313
臺北市,1610,4459
臺北市,2784,7225
臺北市,3541,9248
臺北市,4386,10546
臺北市,2878,8100
臺北市,3227,8930
臺北市,2168,5964
臺北市,2089,6010
臺北市,3151,8387
臺北市,2209,5906
臺北市,3252,8925
臺北市,1684,3975
臺北市,359,999
臺北市,1703,4161
臺北市,2860,7629
臺北市,2927,7985
臺北市,2336,6579
臺北市,2090,4980
臺北市,1837,5278
臺北市,2725,6627
臺北市,1497,4016
臺北市,1575,4263
臺北市,3213,7002
臺北市,2768,7685
臺北市,1496,3949
臺北市,1884,4982
臺北市,1892,5147
臺北市,2015,5196
臺北市,2826,7263
臺北市,2915,7917
臺北市,1659,4340
臺北市,1755,4895
臺北市,2118,5671
臺北市,2005,5420
臺北市,3530,9827
臺北市,3497,9730
臺北市,2498,6793
臺北市,2283,5964
臺北市,2277,5447
臺北市,2830,7726
臺北市,3756,9678
臺北市,2579,6914
臺北市,2354,6427
臺北市,2124,5982
臺北市,3510,10102
臺北市,3276,9664
臺北市,2513,6055
臺北市,3196,8539
臺北市,2997,8320
臺北市,2176,5777
臺北市,2042,5616
臺北市,2605,7048
臺北市,2646,7319
臺北市,2287,6215
臺北市,3650,8748
臺北市,2715,7872
臺北市,3155,8463
臺北市,3165,8207
臺北市,1776,4839
臺北市,4090,11907
臺北市,3104,8819
臺北市,3177,9243
臺北市,1837,5092
臺北市,3357,7859
臺北市,2811,6945
臺北市,1835,3787
臺北市,3985,8923
臺北市,2105,5819
臺北市,2714,8443
臺北市,2436,6476
臺北市,2103,5831
臺北市,3888,10514
臺北市,3176,9696
臺北市,1932,5911
臺北市,498,1377
臺北市,2281,6307
臺北市,3595,8710
臺北市,2198,6104
臺北市,1577,4297
臺北市,1318,3390
臺北市,1256,3227
臺北市,2888,6085
臺北市,3011,7926
臺北市,2413,6386
臺北市,2986,8298
臺北市,3091,8620
臺北市,2606,7460
